Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Czech Republic,Орлов Епифан Валерьянович,Cruzeiro,вратарь,1,-11
Antarctica,Наумов Парамон Димитриевич,Vélez Sarsfield,полузащитник,9,13
Bouvet Island,Попов Ювеналий Федосеевич,Estudiantes,нападающий,4,9
Poland,Калашников Адриан Валентинович,Valencia,полузащитник,10,24
Estonia,Одинцов Изот Артурович,Palmeiras,вратарь,6,-12
Gibraltar,Кабанов Ярополк Владиленович,PSV Eindhoven,полузащитник,1,16
Suriname,Сафонов Афанасий Гаврилович,Atlético Nacional,полузащитник,9,2
Nepal,Меркушев Лавр Дмитриевич,Spartak Moscow,полузащитник,4,30
Laos,Корнилов Мстислав Евсеевич,River Plate,защитник,7,20
Aruba,Павлов Фотий Викентьевич,Universitario,защитник,4,14
Puerto Rico,Лаврентьев Пимен Федосеевич,MTK Budapest,вратарь,1,-13
Jamaica,Марков Ананий Демьянович,Köln,полузащитник,8,14
France,Аксенов Савелий Елизарович,Olympique Lyonnais,вратарь,9,-21
Equatorial Guinea,Морозов Федор Марсович,Saint-Étienne,защитник,7,20
Cape Verde,Соловьев Добромысл Герасимович,Porto,нападающий,4,15
Guatemala,Соколов Архип Федотович,Manchester United,защитник,1,21
St Vincent/Grenadines,Лебедев Серафим Всеволодович,Atlético Mineiro,нападающий,5,1
Greece,Киселев Авдей Васильевич,Cerro Porteño,нападающий,3,15
Comoros,Михайлов Терентий Юлианович,Atlético Nacional,полузащитник,4,26
Luxembourg,Гусев Ладислав Бенедиктович,Borussia Mönchengladbach,защитник,3,17
Pakistan,Нестеров Аскольд Юлианович,Estudiantes,защитник,9,25
Sri Lanka,Панов Дорофей Эдгарович,Olympique Marseille,защитник,8,2
Mozambique,Григорьев Стоян Викторович,Independiente,полузащитник,10,3
South Africa,Шашков Евстигней Владиславович,Corinthians,вратарь,8,-29
Botswana,Николаев Гостомысл Фадеевич,Inter Milan,полузащитник,4,11
Ghana,Андреев Будимир Викторович,Újpest,нападающий,9,21
St. Helena,Миронов Капитон Жоресович,Fenerbahçe,полузащитник,7,13
Italy,Воронцов Агап Ефимьевич,Hajduk Split,полузащитник,5,21
Qatar,Логинов Софрон Евсеевич,Lazio,вратарь,9,-15
Iran,Матвеев Изот Бенедиктович,CSKA Sofia,вратарь,3,-3
Venezuela,Комиссаров Никандр Георгиевич,Atlético Nacional,полузащитник,7,18
Cambodia,Михеев Родион Венедиктович,Slavia Prague,вратарь,10,-27
Latvia,Мартынов Доброслав Васильевич,Sporting,вратарь,5,-2
Congo,Попов Остромир Давыдович,Al Ahly,полузащитник,9,2
