Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Iraq,Моисеев Наркис Матвеевич,Everton,защитник,8,7
Spain,Ефимов Валентин Гурьевич,Al Ahly,полузащитник,9,29
Argentina,Овчинников Глеб Игнатович,Paris Saint-Germain,нападающий,10,7
Pakistan,Тарасов Никодим Гертрудович,Al Ahly,защитник,8,12
Philippines,Рыбаков Александр Валерианович,Köln,полузащитник,2,28
Benin,Воронцов Радован Демидович,Palmeiras,нападающий,5,2
Venezuela,Александров Владлен Анатольевич,Juventus,нападающий,8,4
Zaire,Владимиров Гремислав Ермолаевич,Ferencvárosi TC,защитник,5,18
Niger,Буров Виталий Геннадиевич,Atlético Nacional,защитник,5,23
Antigua And Barbuda,Ильин Лучезар Марсович,Chelsea,вратарь,2,-22
Mexico,Никифоров Артем Дорофеевич,Anderlecht,вратарь,10,-26
Moldova,Самсонов Аскольд Филимонович,Peñarol,защитник,7,19
Oman,Емельянов Клавдий Артемьевич,Juventus,нападающий,3,12
Zaire,Голубев Мечислав Харламович,Libertad,нападающий,4,16
Singapore,Лукин Панкрат Гордеевич,Ajax,нападающий,10,8
Mozambique,Копылов Сильвестр Матвеевич,Sparta Prague,вратарь,10,-6
Luxembourg,Осипов Христофор Фомич,Corinthians,защитник,4,27
Christmas Island,Киселев Емельян Дмитриевич,PSV Eindhoven,вратарь,8,-26
Finland,Петров Лаврентий Андреевич,Dinamo Zagreb,вратарь,1,-4
Guam,Зайцев Любим Тарасович,São Paulo,нападающий,5,27
Senegal,Григорьев Добромысл Владиленович,Dynamo Kyiv,нападающий,10,16
Australia,Панфилов Алексей Жанович,Tottenham Hotspur,защитник,10,28
Bermuda,Евсеев Всемил Григорьевич,Linfield,защитник,7,15
Congo,Королев Аристарх Гордеевич,Athletic Bilbao,защитник,10,26
Mongolia,Лыткин Ипполит Яковлевич,Club América,нападающий,3,3
Malaysia,Гущин Христофор Герасимович,Bayern Munich,полузащитник,5,14
Moldova,Бобылев Азарий Валерьевич,Dinamo Zagreb,нападающий,3,10
Tajikistan,Марков Святополк Елисеевич,Benfica,нападающий,9,18
Iran,Уваров Силантий Анисимович,San Lorenzo,защитник,8,22
Mexico,Соколов Велимир Ермолаевич,Peñarol,защитник,5,15
Austria,Фролов Роман Адамович,Köln,полузащитник,1,9
Morocco,Коновалов Эрнст Брониславович,Sporting,вратарь,4,-25
Mexico,Блохин Ратибор Валерьянович,Roma,полузащитник,4,30
Cocos Islands,Якушев Софон Архипович,Ferencvárosi TC,защитник,10,18
Bolivia,Волков Кирилл Гурьевич,Universidad de Chile,защитник,5,16
Kiribati,Дроздов Руслан Изотович,América de Cali,защитник,8,19
Reunion,Козлов Виссарион Егорович,Dynamo Kyiv,вратарь,3,-7
Iceland,Гурьев Геннадий Гаврилович,Malmö,полузащитник,3,25
Liberia,Зимин Кирилл Иосипович,Olympique Lyonnais,полузащитник,6,30
Guadeloupe,Егоров Борис Ефимович,Porto,нападающий,5,7
Malawi,Силин Кир Юлианович,Liverpool,вратарь,9,-8
Yemen,Киселев Изот Харлампьевич,Dinamo Bucureşti,нападающий,3,3
Central African Rep,Богданов Олег Григорьевич,Santos,защитник,6,12
Guyana,Юдин Савва Ермолаевич,Espérance,полузащитник,5,27
Colombia,Емельянов Леонид Юлианович,Sparta Prague,вратарь,5,-2
Ethiopia,Горбунов Ювеналий Чеславович,Liverpool,вратарь,7,-3
Guinea-bissau,Захаров Вацлав Адрианович,Arsenal,защитник,7,14
Israel,Рогов Парфен Харлампьевич,Universidad de Chile,полузащитник,3,3
Ireland,Белов Ювеналий Елисеевич,Dynamo Kyiv,защитник,1,19
Finland,Крылов Галактион Всеволодович,Cruzeiro,нападающий,7,18
Guyana,Романов Елисей Германович,Espérance,полузащитник,7,2
Netherlands,Кошелев Евлампий Вячеславович,Dynamo Kyiv,нападающий,8,7
Angola,Мясников Артемий Ярославович,Olympique Marseille,нападающий,2,10
Angola,Бирюков Иннокентий Арсеньевич,Fiorentina,нападающий,9,22
Mayotte,Цветков Георгий Филимонович,Ajax,вратарь,5,-4
Pitcairn,Савельев Зиновий Вячеславович,Rangers,нападающий,2,9
Marshall Islands,Цветков Спиридон Виленович,Steaua Bucureşti,защитник,9,17
Mali,Гурьев Денис Венедиктович,Olimpia,нападающий,9,14
St.Pierre,Беляев Вышеслав Игнатович,Hamburger SV,вратарь,2,-19
Solomon Islands,Вишняков Владлен Теймуразович,Grasshopper Club Zürich,полузащитник,8,27
Montserrat,Красильников Осип Дорофеевич,Inter Milan,защитник,1,26
Andorra,Горбачев Авдей Фролович,Tottenham Hotspur,защитник,8,18
Yemen,Третьяков Севастьян Игнатович,Juventus,нападающий,10,14
Cape Verde,Комаров Дорофей Теймуразович,Everton,полузащитник,10,3
Belize,Кондратьев Евграф Ермилович,Zamalek,вратарь,2,-24
